codepoint,character,unicode_name,category,occurrence_count,resource_classes,is_han,is_ascii,is_kana,is_punctuation,is_symbol,selector_requirement
U+0020, ,SPACE,Zs,31067,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
U+0021,!,EXCLAMATION MARK,Po,134,LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0022,"""",QUOTATION MARK,Po,436,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0023,#,NUMBER SIGN,Po,22,SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0024,$,DOLLAR SIGN,Sc,1,STAGEDAT_OLANG,NO,YES,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+0025,%,PERCENT SIGN,Po,237,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0026,&,AMPERSAND,Po,16,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0027,',APOSTROPHE,Po,437,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0028,(,LEFT PARENTHESIS,Ps,1577,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0029,),RIGHT PARENTHESIS,Pe,1565,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+002A,*,ASTERISK,Po,60,SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+002B,+,PLUS SIGN,Sm,170,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,NO,YES,UNKNOWN / UNION_REQUIRED
U+002C,",",COMMA,Po,105,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+002D,-,HYPHEN-MINUS,Pd,5112,BRIEFING_NBE | LOOSE_OLANG | OHD | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+002E,.,FULL STOP,Po,1691,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+002F,/,SOLIDUS,Po,924,LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG,NO,YES,NO,YES,NO,UNKNOWN / UNION_REQUIRED
U+0030,0,DIGIT ZERO,Nd,8208,BRIEFING_NBE | LOOSE_OLANG | SLOT_OLANG | STAGEDAT_OLANG | YPK_GTT,NO,YES,NO,NO,NO,UNKNOWN / UNION_REQUIRED
